EAS Schema 14.1
 
Code Page 0: AirSync    Xmlns = "airsync" Namespace = "AirSync:" 
    0x26     "RequireManualSyncWhenRoaming"
    0x27     "AllowDesktopSync"
    0x28     "MaxCalendarAgeFilter"
    0x29     "AllowHTMLEmail"
    0x2A     "MaxEmailAgeFilter"
    0x2B     "MaxEmailBodyTruncationSize"
    0x2C     "MaxEmailHTMLBodyTruncationSize"
    0x2D     "RequireSignedSMIMEMessages"
    0x2E     "RequireEncryptedSMIMEMessages"
    0x2F     "RequireSignedSMIMEAlgorithm"
    0x30     "RequireEncryptionSMIMEAlgorithm"
    0x31     "AllowSMIMEEncryptionAlgorithmNegotiation"
    0x32     "AllowSMIMESoftCerts"
    0x33     "AllowBrowser"
    0x34     "AllowConsumerEmail"
    0x35     "AllowRemoteDesktop"
    0x36     "AllowInternetSharing"
    0x37     "UnapprovedInROMApplicationList"
    0x38     "ApplicationName"
    0x39     "ApprovedApplicationList"
    0x3A     "Hash"

Code Page 15: Search    Xmlns = "search"    Namespace = "Search:"
 
    Token    Field
    0x05     "Search"
    0x07     "Store"
    0x08     "Name"
    0x09     "Query"
    0x0A     "Options"
    0x0B     "Range"
    0x0C     "Status"
    0x0D     "Response"
    0x0E     "Result"
    0x0F     "Properties"
    0x10     "Total"
    0x11     "EqualTo"
    0x12     "Value"
    0x13     "And"
    0x14     "Or"
    0x15     "FreeText"
    0x17     "DeepTraversal"
    0x18     "LongId"
    0x19     "RebuildResults"
    0x1A     "LessThan"
    0x1B     "GreaterThan"
    0x1E     "UserName"
    0x1F     "Password"
    0x20     "ConversationId"
    0x21     "Picture"
    0x22     "MaxSize"
    0x23     "MaxPictures"
 

Code Page 16: GAL    Xmlns = "gal"    Namespace = "GAL:"
 
    0x05     "DisplayName"
    0x06     "Phone"
    0x07     "Office"
    0x08     "Title"
    0x09     "Company"
    0x0A     "Alias"
    0x0B     "FirstName"
    0x0C     "LastName"
    0x0D     "HomePhone"
    0x0E     "MobilePhone"
    0x0F     "EmailAddress"
    0x10     "Picture"
    0x11     "Status"
    0x12     "Data"
 

Code Page 17: AirSyncBase    Xmlns = "airsyncbase"    Namespace = "AirSyncBase:"

    Token    Field 
    0x05     "BodyPreference"
    0x06     "Type"
    0x07     "TruncationSize"
    0x08     "AllOrNone"
    0x0A     "Body"
    0x0B     "Data"
    0x0C     "EstimatedDataSize"
    0x0D     "Truncated"
    0x0E     "Attachments"
    0x0F     "Attachment"
    0x10     "DisplayName"
    0x11     "FileReference"
    0x12     "Method"
    0x13     "ContentId"
    0x14     "ContentLocation"
    0x15     "IsInline"
    0x16     "NativeBodyType"
    0x17     "ContentType"
    0x18     "Preview"
    0x19     "BodyPartPreference"
    0x1A     "BodyPart"
    0x1B     "Status"

Code Page 18: Settings    Xmlns = "settings"    Namespace = "Settings:"

    Token    Field
    0x05     "Settings"
    0x06     "Status"
    0x07     "Get"
    0x08     "Set"
    0x09     "Oof"
    0x0A     "OofState"
    0x0B     "StartTime"
    0x0C     "EndTime"
    0x0D     "OofMessage"
    0x0E     "AppliesToInternal"
    0x0F     "AppliesToExternalKnown"
    0x10     "AppliesToExternalUnknown"
    0x11     "Enabled"
    0x12     "ReplyMessage"
    0x13     "BodyType"
    0x14     "DevicePassword"
    0x15     "Password"
    0x16     "DeviceInformation"
    0x17     "Model"
    0x18     "IMEI"
    0x19     "FriendlyName"
    0x1A     "OS"
    0x1B     "OSLanguage"
    0x1C     "PhoneNumber"
    0x1D     "UserInformation"
    0x1E     "EmailAddresses"
    0x1F     "SmtpAddress"
    0x20     "UserAgent"
    0x21     "EnableOutboundSMS"
    0x22     "MobileOperator"
    0x23     "PrimarySmtpAddress"
    0x24     "Accounts"
    0x25     "Account"
    0x26     "AccountId"
    0x27     "AccountName"
    0x28     "UserDisplayName"
    0x29     "SendDisabled"
    0x2B     "RightsManagementInformation"

Code Page 19: DocumentLibrary    Xmlns = "documentlibrary"    Xmlns = "documentlibrary"
 
    0x05     "LinkId"
    0x06     "DisplayName"
    0x07     "IsFolder"
    0x08     "CreationDate"
    0x09     "LastModifiedDate"
    0x0A     "IsHidden"
    0x0B     "ContentLength"
    0x0C     "ContentType"

Code Page 20: ItemOperations    Xmlns = "itemoperations"    Namespace = "ItemOperations:"
 
    0x05     "ItemOperations"
    0x06     "Fetch"
    0x07     "Store"
    0x08     "Options"
    0x09     "Range"
    0x0A     "Total"
    0x0B     "Properties"
    0x0C     "Data"
    0x0D     "Status"
    0x0E     "Response"
    0x0F     "Version"
    0x10     "Schema"
    0x11     "Part"
    0x12     "EmptyFolderContents"
    0x13     "DeleteSubFolders"
    0x14     "UserName"
    0x15     "Password"
    0x16     "Move"
    0x17     "DstFldId"
    0x18     "ConversationId"
    0x19     "MoveAlways"
 

Code Page 21: ComposeMail    Xmlns = "composemail"    Namespace = "ComposeMail:"
 
    0x05     "SendMail"
    0x06     "SmartForward"
    0x07     "SmartReply"
    0x08     "SaveInSentItems"
    0x09     "ReplaceMime"
    0x0B     "Source"
    0x0C     "FolderId"
    0x0D     "ItemId"
    0x0E     "LongId"
    0x0F     "InstanceId"
    0x10     "MIME"
    0x11     "ClientId"
    0x12     "Status"
    0x13     "AccountId"
            #endregion

Code Page 22: Email2    Xmlns = "email2"    Xmlns = "email2"
 
    Token    Field
    0x05     "UmCallerID"
    0x06     "UmUserNotes"
    0x07     "UmAttDuration"
    0x08     "UmAttOrder"
    0x09     "ConversationId"
    0x0A     "ConversationIndex"
    0x0B     "LastVerbExecuted"
    0x0C     "LastVerbExecutionTime"
    0x0D     "ReceivedAsBcc"
    0x0E     "Sender"
    0x0F     "CalendarType"
    0x10     "IsLeapMonth"
    0x11     "AccountId"
    0x12     "FirstDayOfWeek"
    0x13     "MeetingMessageType"
 

Code Page 23: Notes    "notes"    Namespace = "Notes:"
 
    Token    Field
    0x05     "Subject"
    0x06     "MessageClass"
    0x07     "LastModifiedDate"
    0x08     "Categories"
    0x09     "Category"

Code Page 24: RightsManagement    Xmlns = "rightsmanagement"    Xmlns = "rightsmanagement"
 
    Token    Field
    0x05     "RightsManagementSupport"
    0x06     "RightsManagementTemplates"
    0x07     "RightsManagementTemplate"
    0x08     "RightsManagementLicense"
    0x09     "EditAllowed"
    0x0A     "ReplyAllowed"
    0x0B     "ReplyAllAllowed"
    0x0C     "ForwardAllowed"
    0x0D     "ModifyRecipientsAllowed"
    0x0E     "ExtractAllowed"
    0x0F     "PrintAllowed"
    0x10     "ExportAllowed"
    0x11     "ProgrammaticAccessAllowed"
    0x12     "RMOwner"
    0x13     "ContentExpiryDate"
    0x14     "TemplateID"
    0x15     "TemplateName"
    0x16     "TemplateDescription"
    0x17     "ContentOwner"
    0x18     "RemoveRightsManagementDistribution"
 

